zone_id,zone_name,case_key,season,rear_bearing_true_deg,baseline_mean_h,likely_mean_h,conservative_mean_h,baseline_minus_conservative_mean_h,baseline_minus_conservative_median_h,baseline_minus_conservative_p10_h,baseline_minus_conservative_p90_h,materiality_threshold_h,materially_sensitive
1,ZONE_1,AUTUMN_B325,AUTUMN,325.0,6.6939941812136325,6.672547797173732,6.068443474646716,0.6255507065669166,0.6875,0.4375,0.6875,0.5,True
2,ZONE_2,AUTUMN_B325,AUTUMN,325.0,6.836805555555555,6.836805555555555,6.1493055555555545,0.6875000000000009,0.6875000000000009,0.6875000000000009,0.6875000000000018,0.5,True
3,ZONE_3,AUTUMN_B325,AUTUMN,325.0,4.176546391752577,4.032731958762887,3.952094072164948,0.22445231958762912,0.27500000000000036,0.0,0.27500000000000036,0.5,False
4,ZONE_4,AUTUMN_B325,AUTUMN,325.0,2.2828322784810124,2.2828322784810124,1.91689082278481,0.3659414556962024,0.4249999999999998,0.0,0.6875000000000009,0.5,True
5,ZONE_5,AUTUMN_B325,AUTUMN,325.0,4.334821428571429,4.1258928571428575,4.005357142857142,0.32946428571428665,0.2625000000000002,0.27500000000000036,0.27500000000000036,0.5,False
6,ZONE_6,AUTUMN_B325,AUTUMN,325.0,6.154146341463415,6.1346341463414635,5.772634146341463,0.38151219512195134,0.5750000000000002,0.0,0.6875,0.5,True
7,ZONE_7,AUTUMN_B325,AUTUMN,325.0,3.9723529411764704,3.827882352941177,3.694941176470588,0.27741176470588247,0.27500000000000036,0.0,0.5500000000000007,0.5,True
1,ZONE_1,AUTUMN_B330,AUTUMN,330.0,6.601517040731505,6.583291770573566,5.707179966749792,0.8943370739817125,0.9875000000000007,0.46250000000000036,0.9625000000000004,0.5,True
2,ZONE_2,AUTUMN_B330,AUTUMN,330.0,6.662326388888889,6.662326388888889,5.699826388888889,0.9625000000000004,0.9625000000000004,0.9625000000000004,0.9625000000000004,0.5,True
3,ZONE_3,AUTUMN_B330,AUTUMN,330.0,4.246134020618556,4.13208762886598,3.868073453608247,0.37806056701030943,0.5375000000000005,0.0,0.5375000000000005,0.5,True
4,ZONE_4,AUTUMN_B330,AUTUMN,330.0,2.0304588607594938,2.0304588607594938,1.5901107594936708,0.440348101265823,0.2999999999999998,0.0,0.9625000000000008,0.5,True
